Remodel date of property,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),OverallCond,Original construction date,Type of Roof,Material used in Roof,Exterior Covering on the House,Masonry veneer type,Masonry veneer area in square feet,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Month and Year of sold,YrSold,Type of Sale,Condition of Sale,Sale Price,PricePerSqFt,Age of Property when sold(in years),TotalBathroom,living_to_lot_ratio,cluster
1965.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,5.0,1965.0,Hip,Standard (Composite) Shingle,Hard Board,None,180.73137335812217,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,906.0,Unfinished,0.0,134.0,1040.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040.0,0.0,1040.0,1.0,0.0,3.0,1.0,Average/Typical,5.0,1.0,No Fireplace,Detached from home,2005.0,Unfinished,1.0,384.0,Typical/Average,Typical/Average,Paved,0.0,0.0,0.0,0.0,0.0,February 2008,2008.0,Warranty Deed - Conventional,Normal Sale,129500.0,124.51923076923077,43.0,1.0,0.1095774944684438,1
2006.0,2-STORY 1946 & NEWER,Residential Low-Density,85.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Excellent,5.0,2005.0,Hip,Standard (Composite) Shingle,Wood Shingles,Stone,210.6894270193207,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,998.0,Unfinished,0.0,177.0,1175.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1182.0,1142.0,2324.0,3.0,0.0,4.0,1.0,Excellent,6.517808219178082,1.0,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005.0,Finished,3.0,736.0,Typical/Average,Typical/Average,Paved,147.0,21.0,0.0,0.0,0.0,July 2006,2006.0,Home just constructed and sold,Home was not completed when last assessed,180921.19589041095,77.84905158795652,1.0,3.0,0.24486355494679168,2
1962.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0.0,9491.0,Paved,None,Moderately Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,6.0,1962.0,Hip,Standard (Composite) Shingle,Hard Board & Plywood,None,180.73137335812217,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,737.0,Unfinished,0.0,175.0,912.0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912.0,0.0,912.0,1.0,0.0,2.0,1.0,Average/Typical,4.0,1.0,No Fireplace,Detached from home,2005.0,Unfinished,1.0,352.0,Typical/Average,Typical/Average,Paved,140.0,0.0,0.0,0.0,0.0,September 2008,2008.0,Warranty Deed - Conventional,Normal Sale,144000.0,157.89473684210526,46.0,1.0,0.09609103361078918,1
2007.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,5.0,2006.0,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0.0,Unfinished,0.0,1494.0,1494.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494.0,0.0,1494.0,2.0,0.0,3.0,1.0,Good,7.0,1.0,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Rough Finished,3.0,840.0,Typical/Average,Typical/Average,Paved,160.0,33.0,0.0,0.0,0.0,August 2007,2007.0,Home just constructed and sold,Home was not completed when last assessed,279500.0,187.08165997322624,1.0,2.0,0.15741228532293752,0
1960.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Above Average,5.0,1960.0,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,210.6894270193207,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,733.0,Unfinished,0.0,520.0,1253.0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1253.0,0.0,1253.0,1.0,1.0,2.0,1.0,Average/Typical,5.0,1.0,Fair - Prefabricated Fireplace in the basement,Attached to the home,2005.0,Rough Finished,1.0,352.0,Typical/Average,Typical/Average,Paved,0.0,46.66027397260274,0.0,0.0,0.0,May 2008,2008.0,Warranty Deed - Conventional,Normal Sale,157000.0,125.29928172386273,48.0,2.0,0.13201980823938467,1
2001.0,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium-Density,51.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Brookside,Normal,Good,5.575342465753424,1929.0,Gable,Standard (Composite) Shingle,Wood Siding,None,180.73137335812217,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0.0,Unfinished,0.0,832.0,832.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,854.0,0.0,854.0,1.0,0.0,2.0,1.0,Average/Typical,5.0,1.0,No Fireplace,Detached from home,2005.0,Unfinished,2.0,576.0,Typical/Average,Typical/Average,Paved,48.0,112.0,0.0,0.0,0.0,July 2007,2007.0,Warranty Deed - Conventional,Normal Sale,132000.0,154.56674473067915,78.0,1.0,0.08997998103466442,1
1970.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,North Ames,Normal,Above Average,7.0,1970.0,Gable,Standard (Composite) Shingle,Wood Siding,Brick Face,210.6894270193207,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,578.0,Unfinished,0.0,426.0,1004.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004.0,0.0,1004.0,1.0,0.0,2.0,1.0,Average/Typical,5.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Finished,2.0,480.0,Typical/Average,Typical/Average,Paved,0.0,0.0,0.0,0.0,0.0,March 2010,2010.0,Warranty Deed - Conventional,Normal Sale,149000.0,148.40637450199202,40.0,1.0,0.10578442735222843,1
1967.0,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,72.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Below Average,5.0,1967.0,Gable,Standard (Composite) Shingle,Metal Siding,None,180.73137335812217,Average/Typical,Average/Typical,Slab,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,No Basement,0.0,No Basement,0.0,0.0,1057.4294520547944,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1296.0,0.0,1296.0,2.0,0.0,2.0,1.0,Average/Typical,6.0,1.0,No Fireplace,Car Port,2005.0,Unfinished,2.0,516.0,Typical/Average,Typical/Average,Paved,0.0,0.0,0.0,0.0,0.0,October 2006,2006.0,Warranty Deed - Conventional,Normal Sale,90000.0,69.44444444444444,39.0,2.0,0.13655041618375302,1
2004.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Adjacent to East-West Railroad & Normal,Average,5.0,2004.0,Gable,Standard (Composite) Shingle,Vinyl Siding,None,180.73137335812217,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,646.0,Unfinished,0.0,468.0,1114.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114.0,0.0,1114.0,1.0,1.0,3.0,1.0,Good,6.0,1.0,No Fireplace,Detached from home,2005.0,Unfinished,2.0,576.0,Typical/Average,Typical/Average,Paved,0.0,102.0,0.0,0.0,0.0,June 2008,2008.0,Warranty Deed - Conventional,Normal Sale,159000.0,142.72890484739676,4.0,2.0,0.11737435465177537,0
1965.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,6.0,1958.0,Hip,Standard (Composite) Shingle,Brick Face & Plywood,None,180.73137335812217,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,504.0,Unfinished,0.0,525.0,1029.0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339.0,0.0,1339.0,1.0,0.0,3.0,1.0,Average/Typical,6.0,1.0,No Fireplace,Attached to the home,2005.0,Unfinished,1.0,294.0,Typical/Average,Typical/Average,Paved,0.0,0.0,0.0,0.0,0.0,May 2009,2009.0,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",139000.0,103.80881254667662,51.0,1.0,0.14108102412812137,1
2006.0,2-STORY 1946 & NEWER,Residential Low-Density,101.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,Normal,Very Good,5.0,2005.0,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0.0,Unfinished,0.0,1158.0,1158.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158.0,1218.0,2376.0,3.0,1.0,4.0,1.0,Good,9.0,1.0,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005.0,Rough Finished,3.0,853.0,Typical/Average,Typical/Average,Paved,240.0,25.0,0.0,0.0,0.0,November 2006,2006.0,Home just constructed and sold,Home was not completed when last assessed,305313.125,128.49878998316498,1.0,4.0,0.25034242967021386,2
1950.0,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium-Density,57.0,9491.0,Paved,Gravel,Regular,Banked,All Public Utilities,Inside Plot,Gentle Slope,Iowa DOT and Rail Road,Normal,Good,7.0,1930.0,Gable,Standard (Composite) Shingle,Wood Siding,None,180.73137335812217,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0.0,Unfinished,0.0,637.0,637.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1108.0,0.0,1108.0,1.0,0.0,3.0,1.0,Good,6.0,1.0,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Unfinished,1.0,280.0,Typical/Average,Typical/Average,Dirt/Gravel,0.0,0.0,0.0,0.0,0.0,June 2007,2007.0,Warranty Deed - Conventional,Normal Sale,139400.0,125.81227436823104,77.0,1.0,0.11674217679907281,1
2002.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Very Good,5.0,2002.0,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0.0,Unfinished,0.0,567.2404109589041,1777.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795.0,0.0,1795.0,2.0,0.0,3.0,1.0,Good,7.0,1.0,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Rough Finished,2.0,534.0,Typical/Average,Typical/Average,Paved,171.0,25.0,0.0,0.0,0.0,September 2008,2008.0,Warranty Deed - Conventional,Normal Sale,230000.0,128.13370473537606,6.0,2.0,0.18912654093351597,0
1976.0,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium-Density,44.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Meadow Village,Normal,Average,7.0,1976.0,Gable,Standard (Composite) Shingle,Cement Board,None,180.73137335812217,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,840.0,Unfinished,0.0,200.0,1040.0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1060.0,0.0,1060.0,1.0,0.0,3.0,1.0,Average/Typical,6.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Unfinished,2.0,572.0,Typical/Average,Typical/Average,Paved,100.0,110.0,0.0,0.0,0.0,June 2007,2007.0,Warranty Deed - Conventional,Normal Sale,129900.0,122.54716981132076,31.0,1.0,0.11168475397745233,1
2001.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,5.575342465753424,1968.0,Gable,Standard (Composite) Shingle,Plywood,None,180.73137335812217,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Rec Room,188.0,Average Living Quarters,0.0,204.0,1060.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060.0,0.0,1060.0,1.0,0.0,3.0,1.0,Good,6.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Unfinished,1.0,270.0,Typical/Average,Typical/Average,Paved,0.0,90.0,0.0,0.0,0.0,May 2010,2010.0,Warranty Deed - Conventional,Normal Sale,154000.0,145.28301886792454,42.0,1.0,0.11168475397745233,1
2007.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,Normal,Very Good,5.0,2007.0,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0.0,Unfinished,0.0,541.5657341902796,1566.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600.0,0.0,1600.0,2.0,0.0,3.0,1.0,Good,7.0,1.0,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Rough Finished,3.0,890.0,Typical/Average,Typical/Average,Paved,0.0,56.0,0.0,0.0,0.0,July 2009,2009.0,Warranty Deed - Conventional,Normal Sale,256300.0,160.1875,2.0,2.0,0.16858076072068276,0
2000.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Average,7.0,1951.0,Gable,Standard (Composite) Shingle,Wood Siding,None,180.73137335812217,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,234.0,Average Rec Room,0.0,180.0,900.0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900.0,0.0,900.0,1.0,0.0,3.0,1.0,Good,5.0,1.0,No Fireplace,Detached from home,2005.0,Unfinished,2.0,576.0,Typical/Average,Typical/Average,Paved,222.0,32.0,0.0,0.0,0.0,May 2010,2010.0,Warranty Deed - Conventional,Normal Sale,134800.0,149.77777777777777,59.0,1.0,0.09482667790538404,1
